Attrition_Flag	Selected	Customer_Age	Gender=F	Gender=M	Dependent_count	Education_Level=College	Education_Level=Doctorate	Education_Level=Graduate	Education_Level=High School	Education_Level=Post-Graduate	Education_Level=Uneducated	Education_Level=Unknown	Marital_Status=Divorced	Marital_Status=Married	Marital_Status=Single	Marital_Status=Unknown	Income_Category=$40K - $60K	Income_Category=$60K - $80K	Income_Category=$80K - $120K	Income_Category=$120K +	Income_Category=Less than $40K	Income_Category=Unknown	Card_Category=Blue	Card_Category=Gold	Card_Category=Platinum	Card_Category=Silver	Months_on_book	Total_Relationship_Count	Months_Inactive_12_mon	Contacts_Count_12_mon	Credit_Limit	Total_Revolving_Bal	Avg_Open_To_Buy	Total_Amt_Chng_Q4_Q1	Total_Trans_Amt	Total_Trans_Ct	Total_Ct_Chng_Q4_Q1	Avg_Utilization_Ratio
	No	33	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	36	3	1	3	34516	1540	32976	1.038	2574	72	0.756	0.045
	No	47	0	1	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	37	3	2	6	34516	1126	33390	0.575	1736	35	0.4	0.033
	No	46	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	39	3	1	1	3299	870	2429	0.63	4904	75	0.829	0.264
	No	45	0	1	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	37	5	1	2	10991	1328	9663	1.027	3692	60	0.714	0.121
	No	38	0	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	25	4	1	4	3735	1199	2536	0.886	1573	35	0.75	0.321
	No	46	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	38	3	2	2	1803	0	1803	0.415	1979	37	0.321	0
	No	27	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	22	5	2	2	7130	873	6257	0.53	2498	37	0.321	0.122
	No	44	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	37	5	3	1	8241	0	8241	0.723	4436	79	0.756	0
	No	34	1	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	15	5	1	3	1438.3	0	1438.3	0.689	2819	48	0.6	0
	No	45	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	38	4	6	4	16611	0	16611	0.954	1960	48	0.6	0
	No	44	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	34	5	2	3	10973	0	10973	0.792	10583	75	0.786	0
	No	53	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	44	4	2	0	9025	1005	8020	0.568	4412	87	0.706	0.111
	No	43	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	2	2	2	3849	1281	2568	0.777	7930	90	0.607	0.333
	No	50	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	36	3	2	3	14409	511	13898	0.799	2351	39	0.3	0.035
	No	65	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	55	5	2	4	6463	1660	4803	0.995	2336	49	1.722	0.257
	No	35	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	24	2	3	1	3388	1659	1729	0.842	13557	100	0.724	0.49
	No	55	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	50	5	4	3	24250	278	23972	0.647	2153	41	0.577	0.011
	No	55	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	45	3	3	3	16794	809	15985	1.566	1917	33	0.941	0.048
	No	33	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	24	6	2	3	1806	0	1806	0.983	2833	43	0.654	0
	No	47	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	36	6	2	1	8311	0	8311	0.584	1895	57	0.425	0
	No	52	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	47	5	2	3	7030	994	6036	0.725	3211	69	0.725	0.141
	No	47	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	39	3	3	3	1438.3	0	1438.3	0.502	2476	32	0.778	0
	No	41	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	34	1	3	4	1661	0	1661	0.786	2473	49	0.75	0
	No	40	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	30	2	2	2	29338	159	29179	1.017	4983	40	0.379	0.005
	No	58	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	36	6	3	2	2994	2351	643	0.469	1540	32	0.185	0.785
	No	40	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	33	5	3	6	5500	442	5058	0.609	7720	67	0.558	0.08
	No	48	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	41	3	3	2	1522	1273	249	0.735	5005	77	0.674	0.836
	No	59	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	50	2	4	2	6224	0	6224	0.801	8291	69	1.029	0
	No	46	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	27	6	3	3	12781	1253	11528	0.638	1073	21	0.4	0.098
	No	37	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	30	6	2	4	16043	0	16043	1.509	2599	47	1.136	0
	No	30	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	19	6	1	2	1644	0	1644	0.82	2533	44	0.517	0
	No	54	1	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	41	3	1	3	2028	0	2028	0.823	4030	78	0.733	0
	No	48	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	33	3	2	2	25217	1754	23463	0.712	15054	110	0.833	0.07
	No	56	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	36	3	3	3	34516	1477	33039	1.234	2395	50	0.724	0.043
	No	54	1	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	49	2	2	2	1719	0	1719	0.579	4869	65	0.512	0
	No	36	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	30	6	1	2	5494	2078	3416	0.79	2661	58	0.871	0.378
	No	48	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	39	4	3	2	13233	1106	12127	0.882	4288	47	0.621	0.084
	No	34	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	29	4	3	2	14938	1412	13526	0.677	1930	36	0.636	0.095
	No	43	0	1	3	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	3	3	3	9267	0	9267	0.866	7991	90	1.093	0
	No	48	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	36	6	2	2	34516	0	34516	0.691	1733	54	0.636	0
	No	48	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	43	5	3	0	6626	1558	5068	1.02	2838	49	1.333	0.235
	No	56	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	36	2	2	3	4742	855	3887	0.635	870	24	0.5	0.18
	No	63	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	56	3	1	2	6973	2517	4456	0.781	4877	88	0.692	0.361
	No	63	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	53	6	6	2	2880	2362	518	0.89	1323	26	0.444	0.82
	No	47	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	37	3	3	2	5116	1468	3648	0.91	2361	49	0.633	0.287
	No	43	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	34	4	2	2	11362	1871	9491	0.859	7849	88	0.63	0.165
	No	54	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	45	4	3	0	3380	1655	1725	0.636	1636	58	0.706	0.49
	No	40	1	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	33	1	1	1	8712	991	7721	0.615	14512	115	0.769	0.114
	No	38	1	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	4	3	3	1860	0	1860	0.992	1731	29	0.611	0
	No	35	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	28	4	3	2	14869	0	14869	1.624	2753	48	1.087	0
	No	46	1	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	5	1	4	2201	651	1550	0.825	3165	65	0.585	0.296
	No	43	1	0	5	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	34	5	1	3	7135	1164	5971	1.127	3746	81	1.189	0.163
	No	35	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	36	2	3	2	4460	0	4460	0.916	5473	79	0.756	0
	No	42	1	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	28	4	3	2	3044	1865	1179	0.852	4854	85	1.024	0.613
	No	47	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	37	1	2	2	21714	1969	19745	0.944	13270	104	0.625	0.091
	No	50	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	36	3	3	0	1491	0	1491	0.876	1058	34	0.889	0
	No	54	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	1	3	0	1921	1334	587	0.694	4512	90	0.765	0.694
	No	39	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	35	4	3	2	7410	2517	4893	1.924	2398	37	1.176	0.34
	No	57	1	0	3	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	3	1	3	8184	1508	6676	0.789	4134	71	0.821	0.184
	No	51	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	37	3	2	1	2258	1250	1008	0.611	4368	75	0.596	0.554
	No	33	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	15	3	3	4	9725	0	9725	0.75	4062	65	0.711	0
	No	52	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	47	5	6	3	5119	1972	3147	0.835	5146	88	0.956	0.385
	No	56	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	48	6	1	2	4930	2259	2671	1.134	2194	53	0.606	0.458
	No	49	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	36	4	3	2	5099	1178	3921	0.912	3819	82	0.864	0.231
	No	32	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	17	5	1	2	1438.3	1228	210.3	1.132	2580	67	0.971	0.854
	No	40	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	34	5	2	2	13669	1774	11895	0.653	15772	130	0.625	0.13
	No	49	1	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	40	5	1	1	8162	1704	6458	0.819	4334	80	0.739	0.209
	No	43	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	27	4	3	3	1438.3	0	1438.3	0.481	2137	40	0.333	0
	No	44	0	1	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	36	1	1	2	12552	1405	11147	0.702	15508	95	0.792	0.112
	No	52	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	48	4	5	5	13114	2247	10867	1.003	2474	51	0.417	0.171
	No	39	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	32	3	3	1	3812	1103	2709	0.757	4080	65	0.625	0.289
	No	36	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	28	4	3	2	1911	1217	694	0.363	1965	49	0.256	0.637
	No	55	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	45	5	2	4	1850	942	908	0.757	4134	78	0.625	0.509
	No	43	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	36	3	3	3	10851	1101	9750	0.702	3688	65	0.757	0.101
	No	48	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	43	3	3	3	1670	0	1670	0.707	2790	37	0.321	0
	No	37	0	1	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	24	6	2	4	10226	0	10226	0.614	2243	44	0.571	0
	No	51	1	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	39	2	3	1	2268	651	1617	0.717	5016	88	0.66	0.287
	No	29	0	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	17	3	1	3	4626	1232	3394	0.731	14740	102	0.759	0.266
	No	53	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	44	5	2	2	19063	1236	17827	0.542	3393	58	0.871	0.065
	No	55	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	46	5	3	4	5379	962	4417	0.827	1778	40	0.29	0.179
	No	48	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	35	6	3	2	2005	1143	862	0.824	4311	70	0.591	0.57
	No	34	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	22	6	1	0	10253	1857	8396	1.193	3042	66	0.941	0.181
	No	37	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	31	6	3	3	2626	1736	890	0.786	4714	93	0.788	0.661
	No	40	0	1	4	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	36	3	3	2	2165	1465	700	0.622	3672	64	0.73	0.677
	No	52	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	42	5	3	1	4565	1258	3307	0.764	4139	67	0.914	0.276
	No	47	1	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	30	2	3	3	2124	1573	551	0.728	4592	83	0.804	0.741
	No	41	1	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	32	3	2	2	9576	0	9576	0.817	2362	49	0.4	0
	No	42	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	36	1	3	2	22993	0	22993	1.004	7867	75	0.786	0
	No	53	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	48	6	6	3	2370	1166	1204	0.562	2164	45	0.607	0.492
	No	39	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	36	3	3	2	32964	2231	30733	1.731	3094	45	1.647	0.068
	No	53	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	44	4	1	3	7181	2517	4664	0.545	1636	39	0.56	0.351
	No	39	0	1	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	25	4	1	3	9121	1426	7695	0.666	4112	80	0.481	0.156
	No	42	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	1	2	1	2344	1081	1263	0.619	3889	80	0.86	0.461
	No	43	1	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	32	2	3	2	8203	0	8203	0.691	2613	46	0.84	0
	No	42	1	0	3	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	36	3	2	2	3015	0	3015	0.927	4277	80	0.951	0
	No	49	1	0	5	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	39	3	1	4	4568	0	4568	0.979	1431	27	0.688	0
	No	49	1	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	44	4	2	2	2659	0	2659	0.84	4546	81	0.884	0
	No	59	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	5	3	3	1665	0	1665	1.01	2748	40	0.333	0
	No	39	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	36	3	4	1	6690	1912	4778	0.609	3875	60	0.538	0.286
	No	37	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	24	4	2	2	3497	1665	1832	0.627	2337	61	0.564	0.476
	No	53	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	43	1	2	3	3146	0	3146	0.414	1868	38	0.31	0
	No	34	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	27	3	3	2	4274	2517	1757	0.666	2257	54	0.8	0.589
	No	47	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	43	4	2	4	5062	1423	3639	0.775	4535	68	0.417	0.281
	No	58	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	39	3	4	3	4608	1077	3531	0.694	1535	31	0.632	0.234
	No	43	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	24	2	2	1	1484	0	1484	0.532	4838	81	0.929	0
	No	43	0	1	4	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	32	2	1	2	24244	1649	22595	0.776	8074	84	0.647	0.068
	No	40	1	0	3	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	28	2	1	2	22361	1873	20488	0.701	7586	94	0.567	0.084
	No	42	1	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	27	6	2	1	2043	0	2043	1.019	5198	77	0.711	0
	No	51	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	3	1	3	3106	1304	1802	0.604	1368	38	0.407	0.42
	No	40	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	31	3	3	4	15970	1212	14758	0.542	1260	32	0.524	0.076
	No	52	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	35	4	4	2	2411	1379	1032	0.869	4812	79	0.717	0.572
	No	43	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	34	3	4	4	10540	1489	9051	1.029	1980	45	0.607	0.141
	No	42	0	1	4	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	37	3	6	2	15871	2086	13785	0.745	1562	43	0.955	0.131
	No	53	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	3	3	4	2575	411	2164	0.833	2423	43	0.593	0.16
	No	37	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	28	3	4	2	3601	1236	2365	0.726	1802	34	0.478	0.343
	No	52	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	44	2	1	2	34516	1618	32898	1	11603	109	0.847	0.047
	No	53	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	43	4	2	3	11909	1018	10891	1.006	1938	53	0.656	0.085
	No	48	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	37	3	3	2	11959	1665	10294	0.675	1191	40	0.481	0.139
	No	52	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	32	3	1	3	5927	2320	3607	0.544	1558	46	0.643	0.391
	No	39	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	27	3	3	3	2821	725	2096	0.704	2397	35	0.296	0.257
	No	42	0	1	4	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	35	3	2	2	18274	1623	16651	0.681	3886	81	0.8	0.089
	No	57	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	40	6	3	4	17925	1909	16016	0.712	17498	111	0.82	0.106
	No	44	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	31	5	5	2	3454	2065	1389	0.816	4026	67	0.718	0.598
	No	37	0	1	4	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	30	5	1	4	15936	827	15109	1.085	2477	49	1.042	0.052
	No	59	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	53	1	3	1	3709	1197	2512	0.824	5557	82	1	0.323
	No	63	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	53	4	1	2	6128	1895	4233	0.583	1700	42	0.355	0.309
	No	37	1	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	3	3	3	1586	0	1586	0.497	2109	41	0.414	0
	No	26	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	22	3	1	3	1486	0	1486	0.734	4535	82	0.907	0
	No	39	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	29	4	3	4	2187	0	2187	0.467	2031	40	0.333	0
	No	51	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	43	4	2	3	10458	0	10458	0.587	3481	51	0.5	0
	No	49	1	0	4	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	30	1	3	3	2485	1648	837	0.595	4208	71	0.919	0.663
	No	62	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	53	3	1	3	1438.3	0	1438.3	0.699	902	31	0.409	0
	No	51	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	39	5	2	1	4038	1237	2801	0.61	4188	68	0.545	0.306
	No	35	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	3	2	4	2004	0	2004	0.681	1974	60	0.364	0
	No	43	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	31	2	3	3	3764	1780	1984	0.79	4898	80	0.667	0.473
	No	47	0	1	4	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	32	3	3	2	34010	1340	32670	0.744	1739	39	0.5	0.039
	No	38	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	31	2	3	2	14041	2154	11887	1.084	1467	29	1.417	0.153
	No	48	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	28	4	2	1	2944	753	2191	0.707	3457	61	0.848	0.256
	No	26	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	15	6	3	3	2740	2069	671	0.418	1997	44	0.419	0.755
	No	44	1	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	6	3	3	1684	0	1684	0.557	2275	45	0.607	0
	No	46	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	32	4	2	5	20860	1496	19364	0.816	3435	56	0.697	0.072
	No	49	0	1	5	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	30	3	2	1	20895	1808	19087	0.572	3210	65	0.667	0.087
	No	49	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	29	5	2	2	18284	1144	17140	0.767	4846	92	0.736	0.063
	No	41	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	32	3	3	2	3302	1980	1322	0.625	3899	65	0.711	0.6
	No	35	0	1	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	36	6	2	5	8682	1647	7035	0.971	1792	36	0.8	0.19
	No	45	1	0	3	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	41	1	3	3	1477	0	1477	0.768	2214	43	0.654	0
	No	60	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	51	3	3	4	23566	1147	22419	0.629	4274	64	0.641	0.049
	No	54	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	44	2	2	3	11605	1470	10135	0.93	12592	117	0.8	0.127
	No	45	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	31	4	3	4	2704	2262	442	0.87	2362	39	0.444	0.837
	No	58	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	52	3	3	3	15733	2101	13632	0.597	13986	97	0.764	0.134
	No	42	0	1	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	27	5	1	2	1503	929	574	0.892	4680	67	0.971	0.618
	No	38	0	1	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	31	3	1	3	5362	1110	4252	0.651	3548	69	0.5	0.207
	No	45	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	32	2	3	2	13162	0	13162	0.512	1424	38	0.583	0
	No	40	1	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	27	1	1	1	2840	2517	323	0.591	4405	82	0.864	0.886
	No	35	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	27	6	2	2	13655	1048	12607	0.509	2383	59	0.595	0.077
	No	51	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	44	5	3	3	1483	0	1483	0.707	2520	40	0.429	0
	No	41	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	26	5	1	2	1438.3	0	1438.3	0.66	4300	67	0.675	0
